kind,item_id,concept,src_lang,lang,native_hit,native_n,distortion_hit,distortion_n,ctrl_itelet,manual_ctrl,manual_native,manual_distortion,truncated,degenerate,indoklas
ctrl,UNT-HU01-ctrl,kaláka,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a szó fő jelentését (segítségnyújtás) és használatát (ige és főnév), példákkal alátámasztva."
ctrl,UNT-HU01-ctrl,kaláka,,hu,,,,,reszben,,,,0,0,"A definíció helyes, de a nyelvtani eredet magyarázata pontatlan, mivel a 'segítség' nem a melléknévi igenévből, hanem az 'segít' igéből képzett főnév."
ctrl,UNT-HU01-ctrl,kaláka,,zh,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a '帮助' szó jelentését, nyelvtani szerepét, használati példákat és kontextuális árnyalatokat is."
ctrl,UNT-HU02-ctrl,szeretet / szerelem,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan leírja a barátság lényegét, kiemelve a választás szabadságát, a kölcsönösséget és az érzelmi kötődést, ami megfelel a szó fő jelentésének."
ctrl,UNT-HU02-ctrl,szeretet / szerelem,,hu,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan rögzíti a barátság lényegi jellemzőit, mint az önkéntesség, kölcsönösség és bizalom, így megfelel a szó fő jelentésének."
ctrl,UNT-HU02-ctrl,szeretet / szerelem,,zh,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a '友谊' (barátság) fogalmának lényegét, kiemelve a kulcsfontosságú elemeket, mint a kölcsönös tisztelet, bizalom és nem-erkölcsi jelleg."
ctrl,UNT-HU03-ctrl,magázás / tegezés,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi a szó jelentését, kitérve a verbális és nem verbális formákra, valamint a szociális funkcióra is."
ctrl,UNT-HU03-ctrl,magázás / tegezés,,hu,,,,,rossz,,,,0,0,"A 'köszönés' fő jelentése az üdvözlés vagy elbúcsúzás, nem pedig a hála kifejezése, amit a modell hibásan azonosított."
ctrl,UNT-HU03-ctrl,magázás / tegezés,,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó jelentését, kiterjeszti a használati kontextusokkal és példákkal, így átfogó és helytálló."
ctrl,UNT-HU04-ctrl,puszi / csók,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi a szó fő jelentését (ölelés) és mellékjelentéseit is, helyes példákkal illusztrálva."
ctrl,UNT-HU04-ctrl,puszi / csók,,hu,,,,,jo,,,,0,0,"A definíció pontosan megadja az ölelés alapvető fizikai jelentését (karba venni) és kiegészíti azt a szociális-érzelmi kontextussal, ami a szó használatának lényegi része."
ctrl,UNT-HU04-ctrl,puszi / csók,,zh,,,,,jo,,,,0,1,"A definíció pontosan és átfogóan bemutatja a szó fizikai és átvitt jelentését, megfelel a szótári definíció követelményeinek."
ctrl,UNT-HU05-ctrl,honfoglalás,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a szó elsődleges katonai jelentését, valamint a mindennapi nyelvhasználatban gyakori metaforikus értelmét is, megfelelő példákkal alátámasztva."
ctrl,UNT-HU05-ctrl,honfoglalás,,hu,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó fő katonai jelentését, kiegészítve a gyakori átvitt értelmekkel, így teljes körű és helytálló."
ctrl,UNT-HU05-ctrl,honfoglalás,,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó katonai jelentését, helyesen rögzíti a 'háború' és 'csata' közötti hierarchiát, valamint említi a hétköznapi átvitt értelmét is."
ctrl,UNT-HU06-ctrl,sógor,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi az 'uncle' szó fő jelentését, beleértve a vér szerinti rokonokat, a sógorokat és a kulturális/köznyelvi kiterjesztéseket is."
ctrl,UNT-HU06-ctrl,sógor,,hu,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó fő jelentését (apa bátyja), és helyesen magyarázza el a rokonsági fokot."
ctrl,UNT-HU06-ctrl,sógor,,zh,,,,,reszben,,,,0,0,"A definíció pontatlan, mert a '叔叔' elsődlegesen a '父亲的弟弟' (apa öccse) jelentést hordozza, míg a '伯父' (apa bátyja) kizárólagos jelentése, így a '统称为叔叔' állítás félrevezető; továbbá a korhatár (30-50 év) és a 'nem túl öreg' megfogalmazás szubjektív és nem fedi a szó általános használatát."
ctrl,UNT-HU07-ctrl,névnap,,en,,,,,jo,,,,0,0,"A definíció pontosan és egyértelműen megadja a szó fő jelentését, kiegészítve releváns kontextuális információkkal."
ctrl,UNT-HU07-ctrl,névnap,,hu,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó jelentését, és kiegészíti a kulturális kontextussal, így helytálló."
ctrl,UNT-HU07-ctrl,névnap,,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó alapvető jelentését (születésnap), és a kiegészítő magyarázatok is helytállóak."
ctrl,UNT-HU08-ctrl,ráér,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a szó fő jelentését, szerepét (főnév és ige) valamint használati példákat is tartalmaz."
ctrl,UNT-HU08-ctrl,ráér,,hu,,,,,reszben,,,,0,0,"A definíció tartalmazza a helyes jelentést (gyors mozgás), de a 'halasztás elkerülése' és a 'határidőre való készülés' megfogalmazása pontatlan és zavaros, mivel a 'siet' elsősorban a cselekvés tempójára, nem pedig a feladat előkészítésére utal."
ctrl,UNT-HU08-ctrl,ráér,,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó jelentését, kontextusát és használati módját, így megfelel a követelményeknek."
ctrl,UNT-ZH01-ctrl,关系 (guanxi),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi a szó fő jelentését, kiemelve a kölcsönös tiszteletet, a nem családi/jellegű kapcsolatot és a támogatás szerepét."
