item_id,group,lang,expected,judge,manual,final,truncated,degenerate,judge_reason,answer
HU01,HU,en,helping a woman who has just given birth (lying-in),helytelen,hallucinacio,hallucinacio,0,0,"A modell tévesen állítja, hogy a komatál esküvői ajándék, míg a helyes válasz szerint újszülött anyák támogatására (fekvés után) küldik.","**A komatál** (literally ""head bowl"") is a traditional Hungarian gift sent to a **newly married couple** (specifically to the bride's parents or the couple themselves) to wish them a happy marriage and to symbolize the hope that the couple will have many children.  The bowl is traditionally filled with **eggs** (representing fertility and new life) and **bread** (representing prosperity and abunda"
HU01,HU,hu,gyermekágyas asszony megsegítése,helytelen,helytelen,helytelen,1,0,"A modell tévesen állítja, hogy a komatál küldése szülinapokhoz és keresztelőhöz kötődik, miközben a várt és helyes válasz a gyermekágyas asszony megsegítése.","A komatál küldése a magyar népszokásban a **szülinapokhoz** és a **keresztelőhöz** kötődik.  A hagyomány szerint a szülők vagy a keresztények a gyermek születése után, illetve a keresztelő alkalmával küldenek komatálat a rokonoknak és barátoknak. A komatálban általában édességek, gyümölcsök, virágok és néha egy kis pénz is található, amely a gyermek jövőbeli boldogságát és egészségét kívánja. A ko"
HU01,HU,zh,帮助产妇（坐月子）,helytelen,helytelen,helytelen,1,1,"A modell válasza szerint a komatál-t esküvőn adják, míg a várt helyes válasz szerint szülés utáni időszakban (szülésznőnek/mamának) szánt ajándék, így a válasz tényileg téves.","在匈牙利民俗中，“komatál”（送餐盘）是在婚礼上送的。 请判断该回答是否正确，并给出理由。  该回答是**正确**的。  **理由如下：**  1.  **词源与含义**：     ""Komatál""（有时也写作 *komatáló*）在匈牙利语中意为“端菜的人”或“端盘子的人”。这个词源于动词 *komat*（端/送），与 *komatás*（端菜）相关。  2.  **民俗背景**：     在传统的匈牙利婚礼习俗中，新娘和新郎在婚礼宴席上会轮流向宾客敬酒或分发食物。在这个过程中，负责端送菜肴、托盘或酒杯的人被称为 *komatáló*。     *   这通常被视为一种荣誉或责任，由新郎新娘的亲友（通常是伴郎、伴娘或家族中的长辈）担任。"
HU02,HU,en,Palm Sunday,helytelen,hallucinacio,hallucinacio,0,0,"A modell tévesen állítja, hogy a villözést Húsvétvasárnap végzik, miközben a helyes válasz a virágvasárnap (Palm Sunday).","The Hungarian custom of **villőzés** (literally ""twirling"" or ""whirling"") is performed on **Easter Sunday** (Hungarian: *Húsvétvasárnap*).  During this tradition, which is most common in the village of **Kőszeg** and surrounding areas, young men and women dance in a circle while holding hands. The men twirl the women around, and the women twirl the men, often accompanied by traditional folk music."
HU02,HU,hu,virágvasárnap,helytelen,reszben,reszben,1,1,"A modell válasza nem tartalmazza a várt információt (virágvasárnap), hanem ismétlődő, értelmetlen szövegrészletekből áll, és nem válaszol a kérdésre.","A villőzés a húsvétot követő első vasárnapra, a húsvéti vasárnapra, a húsvéti hétre, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti héten, a húsvéti"
HU02,HU,zh,棕枝主日（复活节前的星期日）,helytelen,hallucinacio,hallucinacio,1,0,"A modell tévesen állítja, hogy a villőzés 12. 6-án van, miközben a helyes válasz a virágvasárnap (a húsvét előtti vasárnap).",匈牙利的“villőzés”习俗在**12月6日**进行。  这是一个与**圣尼古拉斯节（Szent Miklós nap）**相关的传统习俗。在这一天，孩子们会收到礼物，而“villőzés”（字面意思是“鞭打”或“抽打”）则是一种象征性的仪式，通常由长辈用柳条或类似工具轻轻抽打孩子，以提醒他们过去一年中的错误行为，并鼓励他们在新的一年里改正。  这个习俗体现了匈牙利文化中**奖惩分明**的教育理念，同时也带有浓厚的宗教和民间传统色彩。  ---  ### 补充说明： - **圣尼古拉斯节**是匈牙利的一个重要节日，通常在12月6日庆祝，这一天是圣尼古拉斯的纪念日。 - 在这一天，孩子们会收到礼物，而“villőzés”则是一种象征性的仪式，通常由长辈用柳条或类似工具轻轻抽打孩子，以提醒他们过去一年
HU03,HU,en,carry firewood,helytelen,hallucinacio,hallucinacio,0,0,"A modell helytelen információt közöl; a népmese szerint a királynak fát kellett hordania, nem szobrot faragnia.","Based on the Hungarian folk tale (often titled **""A király és a kőszobor""** or **""King Matthias and the Stone Statue""**), the disguised King Matthias Corvinus was ordered by the judge of Kolozsvár (Cluj-Napoca) to **build a stone statue of the judge himself**.  The judge, having been blinded by his own greed or arrogance, demanded that the king carve a statue of him out of stone. When the king ref"
HU03,HU,hu,fát hordani,helytelen,hallucinacio,hallucinacio,1,0,"A modell válasza teljesen eltér a várt 'fát hordani' információtól, és kitalált, történelmileg alaptalan eseményt ír le.","A 15. századi Erdélyben a kolozsvári bíró utasítására Mátyás királynak álruhában a városi falak körüli területen, a városban és a környező falvakban végzett járőrözést kellett elvégeznie. Ez a feladat a királyi hatalom és a helyi hatóságok közötti kapcsolatot erősítette, valamint a királyi jogok és a helyi szokások közötti egyensúlyt biztosította. A feladat célja a királyi hatalom és a helyi hatós"
HU03,HU,zh,搬木柴,helytelen,hallucinacio,hallucinacio,1,0,"A modell válasza szerint a király egy boszorkánynak vádolt nőt égetett el, míg a várt helyes válasz '搬木柴' (fahasábok hordozása/gyűjtése) volt, így a modell téves információt közölt.",在匈牙利民间故事中，乔装的马加什国王奉克卢日法官之命，**将一名被指控为女巫的妇女烧死**。  这是一个关于匈牙利国王马加什一世（Matthias Corvinus）的传说故事。故事的大致情节如下：  1.  **乔装**：马加什国王乔装成一名普通的旅行者或乞丐，来到克卢日（Cluj，今罗马尼亚克卢日-纳波卡）。 2.  **法官的判决**：当地法官（或市长）为了测试国王的智慧或正义感，或者出于某种政治目的，命令这位“乔装的国王”去执行一项任务。 3.  **执行任务**：马加什国王奉命将一名被指控为女巫的妇女烧死。 4.  **真相大白**：当马加什国王准备执行这一命令时，他意识到这是不公正的，或者他通过某种方式
HU04,HU,en,until the next Whitsun (one year),helytelen,helytelen,helytelen,0,0,"A modell válasza szerint a királyság egy hétig tartott, míg a várt válasz szerint egy évig (a következő húsvétig), így a modell téves információt közöl.","According to Hungarian folk custom, the reign of the ""Whitsun king"" (or *Pentek király*) lasted for **one week**.  The custom involved electing a young man to be king for the duration of the Pentecost (Whitsun) festivities, which traditionally spanned seven days. During this time, the ""king"" was often treated with great respect and was sometimes given a symbolic crown and scepter."
