kind,item_id,concept,src_lang,lang,native_hit,native_n,distortion_hit,distortion_n,ctrl_itelet,manual_ctrl,manual_native,manual_distortion,truncated,degenerate,indoklas
ctrl,UNT-HU01-ctrl,kaláka,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a szó fő jelentését, nyelvtani szerepeit és használati példákat is tartalmaz."
ctrl,UNT-HU01-ctrl,kaláka,,hu,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó fő jelentését, miszerint támogatás nyújtását vagy kérését jelenti."
ctrl,UNT-HU01-ctrl,kaláka,,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó jelentését és grammatikai kategóriáját, valamint egy érthető példával illusztrálja a használatát."
ctrl,UNT-HU02-ctrl,szeretet / szerelem,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan leírja a barátság lényegét, kiemelve a kölcsönös tisztelet, bizalom és támogatás alapvető elemeit."
ctrl,UNT-HU02-ctrl,szeretet / szerelem,,hu,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan leírja a barátság lényegi jellemzőit, mint a bizalom, tisztelet és kölcsönös támogatás."
ctrl,UNT-HU02-ctrl,szeretet / szerelem,,zh,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan leírja a '友谊' (barátság) szót, kiemelve annak kulcsfontosságú elemeit, mint a kölcsönös tisztelet, bizalom és érzelmi támogatás."
ctrl,UNT-HU03-ctrl,magázás / tegezés,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a szó jelentését, nyelvtani szerepét és használati példákat is tartalmaz."
ctrl,UNT-HU03-ctrl,magázás / tegezés,,hu,,,,,rossz,,,,0,0,"A köszönés nem hálát adást jelent, hanem udvariassági gesztust vagy üdvözlést fejez ki."
ctrl,UNT-HU03-ctrl,magázás / tegezés,,zh,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan leírja a '问候' (üdvözlés/üdvözlet) szó jelentését, magában foglalva a cselekvés módját, célját és kontextusát."
ctrl,UNT-HU04-ctrl,puszi / csók,,en,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó fő jelentését (ölelés) és helyesen jelzi, hogy névmódként és főnévként is használatos."
ctrl,UNT-HU04-ctrl,puszi / csók,,hu,,,,,jo,,,,0,0,"A definíció pontosan megadja az ölelés cselekvés lényegét (karba venni, szorosan tartani) és helyesen kiegészíti a szó társadalmi-kulturális jelentésével."
ctrl,UNT-HU04-ctrl,puszi / csók,,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja az '拥抱' (ölelés) fő jelentését, megkülönböztetve a cselekvés (ige) és az eredmény (főnév) között, valamint helyesen közli a használati kontextust is."
ctrl,UNT-HU05-ctrl,honfoglalás,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi a szó fő jelentését, megkülönböztetve a névmási és igekénti használatot, valamint helyes etimológiai háttérrel is kiegészíti az információt."
ctrl,UNT-HU05-ctrl,honfoglalás,,hu,,,,,rossz,,,,0,0,"A definíció etimológiai tévedéseket tartalmaz, és a 'csata' szó helyes jelentését (két vagy több fél közötti fegyveres összecsapást) nem adja meg."
ctrl,UNT-HU05-ctrl,honfoglalás,,zh,,,,,rossz,,,,0,0,"A definíció téves, mivel a '战役' (hadművelet) nem kizárólag több战区 (hadtest/körzet) közötti harcra utal, hanem egy stratégiai célt szolgáló, időben és térben összefüggő harci cselekmények összességére."
ctrl,UNT-HU06-ctrl,sógor,,en,,,,,jo,,,,0,0,"A definíció pontosan megadja az 'uncle' szó elsődleges jelentését (szülő testvére vagy nagynéni férje), és helyesen kiegészíti a használati kontextussal."
ctrl,UNT-HU06-ctrl,sógor,,hu,,,,,reszben,,,,0,0,"A definíció csak a nagybácsi egyik lehetséges jelentését (apai nagybácsi) adja meg, kizárva az anyai nagybácsit, így a szó teljes jelentéskörét nem fedi le."
ctrl,UNT-HU06-ctrl,sógor,,zh,,,,,jo,,,,1,1,"A definíció pontosan megadja a szó elsődleges, szűk jelentését (apai nagybácsi), és helyesen kiegészíti a tágabb, tiszteletteljes használatával is."
ctrl,UNT-HU07-ctrl,névnap,,en,,,,,jo,,,,0,0,"A definíció pontosan és egyértelműen megadja a 'birthday' szó fő jelentését, kiegészítve példával és etimológiai háttérrel."
ctrl,UNT-HU07-ctrl,névnap,,hu,,,,,jo,,,,0,0,A definíció pontosan és egyértelműen megadja a szó hétköznapi jelentését.
ctrl,UNT-HU07-ctrl,névnap,,zh,,,,,jo,,,,0,0,A definíció pontosan és tömören megadja a '生日' (születésnap) szó alapvető jelentését.
ctrl,UNT-HU08-ctrl,ráér,,en,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó fő jelentését (gyors mozgás/cselekvés), helyesen jelöli meg a főnévi és igekénti használatát, és érthető példákkal illusztrálja."
ctrl,UNT-HU08-ctrl,ráér,,hu,,,,,jo,,,,0,0,"A definíció pontosan és érthetően adja meg a 'siet' szó jelentését, kiemelve a gyorsaság és a cél (ne maradjon le) kapcsolatát."
ctrl,UNT-HU08-ctrl,ráér,,zh,,,,,jo,,,,0,0,"A definíció pontosan és egyértelműen leírja a '赶时间' kifejezés jelentését, amely a sietést vagy az időhiány miatti gyorsaságot jelenti."
ctrl,UNT-ZH01-ctrl,关系 (guanxi),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan adja meg a szó fő jelentését, kiemelve a kölcsönös tiszteletet, a nem családi jellegét és a választott kapcsolatot."
ctrl,UNT-ZH01-ctrl,关系 (guanxi),,hu,,,,,jo,,,,0,0,"A definíció pontosan és tömören megadja a szó alapvető jelentését, kiemelve a bizalom és a pozitív érzelmek fontosságát."
ctrl,UNT-ZH01-ctrl,关系 (guanxi),,zh,,,,,reszben,,,,0,0,"A definíció leírja a barátság minőségi jellemzőit, de tévesen állítja, hogy a családtagok is barátnak számítanak, ami a szó szűkebb, nem rokon értelmével ellentmondásos."
ctrl,UNT-ZH02-ctrl,面子 (mianzi),,en,,,,,jo,,,,0,0,"A definíció pontosan megadja az 'honesty' szó jelentését, kitérve a legfontosabb aspektusokra, mint az őszinteség, integritás és őszinte szándék."
ctrl,UNT-ZH02-ctrl,面子 (mianzi),,hu,,,,,jo,,,,0,0,"A definíció helyesen azonosítja a becsületet mint belső erényt és erkölcsi iránytűt, ami a szó legfontosabb jelentése."
ctrl,UNT-ZH02-ctrl,面子 (mianzi),,zh,,,,,jo,,,,0,0,A definíció pontosan és átfogóan leírja a '诚实' (őszinte/becsületes) szó alapvető jelentését és morális kontextusát.
ctrl,UNT-ZH03-ctrl,缘分 (yuanfen),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a szó leggyakoribb jelentéseit (találkozó, találkozás, metszéspont), megfelelő példákkal alátámasztva."
ctrl,UNT-ZH03-ctrl,缘分 (yuanfen),,hu,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó fő jelentését, és kiegészíti a kontextuális példákkal."
ctrl,UNT-ZH03-ctrl,缘分 (yuanfen),,zh,,,,,reszben,,,,1,1,"A definíció eleme helyes, de a válasz nagy része ismétlődő szöveghalmazból áll, ami zavaró és pontatlan benyomást kelt."
ctrl,UNT-ZH04-ctrl,热闹 (renao),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi a szó fő jelentéseit (hangtalan, csendes, nyugodt) és nyelvtani szerepeit is."
ctrl,UNT-ZH04-ctrl,热闹 (renao),,hu,,,,,jo,,,,0,0,A definíció pontosan és tömören megadja a szó alapvető jelentését.
ctrl,UNT-ZH04-ctrl,热闹 (renao),,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja az '安静' szó jelentését (csendes, nyugodt) és helyesen használ példamondatokat is."
ctrl,UNT-ZH05-ctrl,江湖 (jianghu),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan leírja a 'city' szó fő jelentését, kiemelve a népességsűrűséget, az urbanizációt, a közigazgatást és a funkciókat."
ctrl,UNT-ZH05-ctrl,江湖 (jianghu),,hu,,,,,reszben,,,,0,0,"A definíció helyes irányba mutat, de a 'nagy lakosság' kritérium szubjektív és nem minden jogi vagy statisztikai rendszerben érvényes, így pontatlan."
ctrl,UNT-ZH05-ctrl,江湖 (jianghu),,zh,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan leírja a város fogalmának főbb jellemzőit, beleértve a demográfiai, gazdasági és infrastrukturális aspektusokat."
ctrl,UNT-ZH06-ctrl,撒娇 (sajiao),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi a 'laugh' szó fő jelentését, megkülönböztetve a névmási és igei használatot, valamint utalva a figuratív jelentésre is."
ctrl,UNT-ZH06-ctrl,撒娇 (sajiao),,hu,,,,,reszben,,,,0,0,"A definíció helyesen azonosítja az igét, de a 'mosolygott' és 'nevetett' szinonimaként való használata pontatlan, mivel a nevetés hangosabb és intenzívebb, mint a mosoly."
ctrl,UNT-ZH06-ctrl,撒娇 (sajiao),,zh,,,,,reszben,,,,1,1,"A definíció helyesen azonosítja a szót mint igét és főnevet, de tévesen nevezi meg az '笑' szót melléknévnek, mivel a megadott példa ('笑口常开') egy idióma vagy igei szerkezet, nem pedig a szó önálló melléknévi használata."
ctrl,UNT-ZH07-ctrl,上火 (shanghuo),,en,,,,,jo,,,,0,0,"A definíció pontosan megnevezi a közönséges náthát, felsorolja a fő okokat, tüneteket és megkülönbözteti az influenzától, így helyesen és átfogóan adja meg a szó jelentését."
ctrl,UNT-ZH07-ctrl,上火 (shanghuo),,hu,,,,,jo,,,,0,0,A definíció pontosan és helyesen írja le a megfázás mint légúti vírusfertőzés fő jellemzőit.
ctrl,UNT-ZH07-ctrl,上火 (shanghuo),,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó fő jelentését, azaz a megfázást vagy influenza-szerű fertőzést, és felsorolja a jellemző tüneteket."
ctrl,UNT-ZH08-ctrl,加油 (jiayou),,en,,,,,jo,,,,0,0,"A definíció pontosan megadja a kifejezés fő jelentését (hála kifejezése) és kontextusát, így megfelel a kritériumoknak."
