kind,item_id,concept,src_lang,lang,native_hit,native_n,distortion_hit,distortion_n,ctrl_itelet,manual_ctrl,manual_native,manual_distortion,truncated,degenerate,indoklas
ctrl,UNT-HU01-ctrl,kaláka,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a szó fő jelentését (segítségnyújtás) és a leggyakoribb használati módokat, példák illusztrálásával."
ctrl,UNT-HU01-ctrl,kaláka,,hu,,,,,rossz,,,,1,1,"A modell nem ad definíciót, hanem nyelvtanilag téves állítást tesz (melléknévi alaknak nevezi a főnevet), és ismétlési hurokba esik."
ctrl,UNT-HU01-ctrl,kaláka,,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó jelentését, grammaticai kategóriáját és kontextusát, valamint helyes példákkal és nyelvi kapcsolatokkal támasztja alá."
ctrl,UNT-HU02-ctrl,szeretet / szerelem,,en,,,,,jo,,,,0,0,"A definíció pontosan és érthetően rögzíti a barátság alapvető jellemzőit, mint a kölcsönös tetszés és a közös időtöltés."
ctrl,UNT-HU02-ctrl,szeretet / szerelem,,hu,,,,,reszben,,,,1,1,"A definíció első mondata helyes, de a szöveg nagy része ismétlési hurokba esett és elvágódott, így a válasz minősége és teljessége jelentősen romlott."
ctrl,UNT-HU02-ctrl,szeretet / szerelem,,zh,,,,,reszben,,,,0,0,"A válasz nem nyújt szótári definíciót, hanem egy hosszú, enciklopédikus esszét a barátság pszichológiai és szociológiai aspektusairól, ami túlzottan részletes és nem felel meg a szótári definíció tömör jellegének."
ctrl,UNT-HU03-ctrl,magázás / tegezés,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi a 'greeting' szó fő jelentéseit, beleértve a verbális és a gesztusbeli megnyilvánulásokat is, megfelelő példákkal illusztrálva."
ctrl,UNT-HU03-ctrl,magázás / tegezés,,hu,,,,,rossz,,,,1,1,"A válasz egy végtelen ismétlési hurokba esett, így nem tartalmaz értelmes definíciót."
ctrl,UNT-HU03-ctrl,magázás / tegezés,,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó jelentését, helyes pinyin kiejtéssel és megfelelő példákkal illusztrálja a használatát."
ctrl,UNT-HU04-ctrl,puszi / csók,,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan leírja a 'hug' szó fő jelentését, megemlítve mind az igeként, mind a főnévként való használatát, valamint a kontextusát is."
ctrl,UNT-HU04-ctrl,puszi / csók,,hu,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó jelentését, etimológiáját és használati kontextusát, így megfelel a szótári definíció követelményeinek."
ctrl,UNT-HU04-ctrl,puszi / csók,,zh,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja az '拥抱' szó mind a szó szerinti (fizikai), mind a átvitt (metaforikus) jelentését, megfelelő példákkal illusztrálva."
ctrl,UNT-HU05-ctrl,honfoglalás,,en,,,,,jo,,,,0,0,"A definíció pontosan lefedi a 'battle' szó elsődleges katonai jelentését és a másodlagos, átvitt értelmét is."
ctrl,UNT-HU05-ctrl,honfoglalás,,hu,,,,,rossz,,,,1,1,"A válasz egy végtelen ismétlési hurokba esett, és nem tartalmaz értelmes definíciót."
ctrl,UNT-HU05-ctrl,honfoglalás,,zh,,,,,jo,,,,1,1,"A definíció pontosan megadja a '战役' (hadművelet) katonai fogalmát, helyesen elkülönítve azt a taktikai szintű '战斗'-tól és a stratégiai szintű '战争'-tól, valamint kitér a kapcsolódó fogalmakra és típusokra is."
ctrl,UNT-HU06-ctrl,sógor,,en,,,,,reszben,,,,0,0,"A definíció helyes a vér szerinti rokonra vonatkozóan, de a második pont (barát/tisztelet kifejezése) inkább használati példákra vagy metaforikus jelentésekre utal, nem pedig a szó szótári definíciójának alapvető, elsődleges jelentésére."
ctrl,UNT-HU06-ctrl,sógor,,hu,,,,,reszben,,,,0,0,"A definíció helytelenül állítja, hogy a nagybácsi a szülő bátyja vagy testvére, mivel a nagybácsi kizárólag a szülő testvére (bátyja vagy öccse), nem pedig bátyja."
ctrl,UNT-HU06-ctrl,sógor,,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó legfontosabb jelentését (apai nagybácsi), valamint kiterjeszti a használati körét a tiszteletteljes megszólításra és a szakmai címekre, így átfogó és helytálló."
ctrl,UNT-HU07-ctrl,névnap,,en,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó alapvető jelentését (a születés napja) és kiterjeszti a szokásos ünnepelési kontextusra is, példák segítségével."
ctrl,UNT-HU07-ctrl,névnap,,hu,,,,,jo,,,,0,0,A definíció pontosan és egyértelműen megadja a szó alapvető jelentését.
ctrl,UNT-HU07-ctrl,névnap,,zh,,,,,jo,,,,0,0,A definíció pontosan és tömören megadja a '生日' (születésnap) szó alapvető jelentését.
ctrl,UNT-HU08-ctrl,ráér,,en,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó fő jelentését (gyorsan mozogni/akadni), helyes példákkal és szinonimákkal kiegészítve."
