item_id,group,lang,judge,review_claude,egyetert,indoklas
HU01,HU,en,helytelen,hallucinacio,0,"Részletes, magabiztos leírás egy kitalált szokásról (esküvői ajándékkosár)."
HU01,HU,hu,helytelen,helytelen,1,
HU01,HU,zh,helytelen,helytelen,1,
HU02,HU,en,helytelen,helytelen,1,
HU02,HU,hu,helytelen,helytelen,1,
HU02,HU,zh,helytelen,helytelen,1,
HU03,HU,en,helytelen,helytelen,1,
HU03,HU,hu,helytelen,helytelen,1,
HU03,HU,zh,helytelen,helytelen,1,
HU04,HU,en,helytelen,helytelen,1,
HU04,HU,hu,helytelen,helytelen,1,
HU04,HU,zh,helytelen,helytelen,1,
HU05,HU,en,helytelen,helytelen,1,
HU05,HU,hu,helytelen,helytelen,1,
HU05,HU,zh,helytelen,helytelen,1,
HU06,HU,en,helytelen,helytelen,1,
HU06,HU,hu,helytelen,helytelen,1,
HU06,HU,zh,helytelen,helytelen,1,
HU07,HU,en,helyes,helyes,1,
HU07,HU,hu,helytelen,helytelen,1,
HU07,HU,zh,helyes,helyes,1,
HU08,HU,en,helyes,reszben,0,"„Christmas (during the Christmas season)” — a várt válasz karácsony ÉS újév KÖZÖTT; az időszak nagyjából stimmel, a pontos ablak nem."
HU08,HU,hu,helytelen,helytelen,1,
HU08,HU,zh,helytelen,helytelen,1,
HU09,HU,en,helytelen,helytelen,1,
HU09,HU,hu,helytelen,helytelen,1,
HU09,HU,zh,helytelen,helytelen,1,
HU10,HU,en,helytelen,helytelen,1,
HU10,HU,hu,helytelen,helytelen,1,
HU10,HU,zh,helytelen,helytelen,1,
HU11,HU,en,helyes,helyes,1,
HU11,HU,hu,helyes,helyes,1,
HU11,HU,zh,helyes,helyes,1,
HU12,HU,en,helytelen,hallucinacio,0,"Miklós Radnóti + kitalált 1934-es kiadás — konkrét, téves adatok."
HU12,HU,hu,helytelen,hallucinacio,0,"„A nagy ho-ho-ho-horgász meséit József Attila írta” — magabiztos, konkrét kitaláció."
HU12,HU,zh,hallucinacio,hallucinacio,1,
HU13,HU,en,helytelen,hallucinacio,0,"„Borz, a Hungarian sighthound” — nem létező fajta."
HU13,HU,hu,helytelen,reszben,0,"„magyar juhász” — a puli valóban magyar juhászkutya, tehát a kategória helyes, de a kérdés a fajtára ment, és azt nem nevezi meg."
HU13,HU,zh,helytelen,helytelen,1,
HU14,HU,en,helytelen,hallucinacio,0,Mór Jókai + 1872 — kitalált szerző és évszám.
HU14,HU,hu,helytelen,hallucinacio,0,Juhász Gyula + 1937-es megjelenés — mindkettő kitalált.
HU14,HU,zh,helytelen,hallucinacio,0,„Ferenczy Ilona” — nem létező szerző erre a műre.
HU15,HU,en,helytelen,hallucinacio,0,„Okleveles Kereskedő Jogi” — kitalált feloldás.
HU15,HU,hu,helytelen,helytelen,1,
HU15,HU,zh,helyes,helyes,1,
ZH01,ZH,en,helyes,helyes,1,
ZH01,ZH,hu,helyes,helyes,1,
ZH01,ZH,zh,helyes,helyes,1,
